,fid,GEOID,COUNTYFP,NAMELSAD,median_hh_,median_h_1,CDTFA_COPR,CDTFA_CITY,CDTFA_COUN,CENSUS_PLA,CENSUS_GEO,CENSUS_P_1,GNIS_PLACE,GNIS_ID,acs_2024_tracts_berkeley_oakland_sf_density_city,acs_2024_tracts_berkeley_oakland_sf_density_NAME,acs_2024_tracts_berkeley_oakland_sf_density_year,acs_2024_tracts_berkeley_oakland_sf_density_total_pop,acs_2024_tracts_berkeley_oakland_sf_density_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_poc,acs_2024_tracts_berkeley_oakland_sf_density_median_income,acs_2024_tracts_berkeley_oakland_sf_density_median_home_value,acs_2024_tracts_berkeley_oakland_sf_density_housing_units_total,acs_2024_tracts_berkeley_oakland_sf_density_owner_occupied,acs_2024_tracts_berkeley_oakland_sf_density_renter_occupied,acs_2024_tracts_berkeley_oakland_sf_density_homeownership_rate,acs_2024_tracts_berkeley_oakland_sf_density_area_sq_miles,acs_2024_tracts_berkeley_oakland_sf_density_pop_density,weight_supply_sum, Accessibility_Index,NAME_x,group_0_17,group_18_34,group_35_49,group_50_up,NAME_y,below_high_school,high_school_grad,some_college_assoc,bachelors_plus
11,952,6001400800,1,Census Tract 4008,97132.0,37490.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4008; Alameda County; California,2024.0,4548.0,2209.0,363.0,648.0,899.0,0.4857080035180299,0.0798153034300791,0.1424802110817942,0.1976693051890941,0.5142919964819701,145978.0,1037500.0,1902.0,688.0,1214.0,0.3617245005257624,0.2775240950772085,16387.766254078677,216447056.54,47591.701,Census Tract 4008; Alameda County; California,593,1579,772,1604,Census Tract 4008; Alameda County; California,196,326,717,2496
12,940,6001422000,1,Census Tract 4220,140331.0,17431.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4220; Alameda County; California,2024.0,2470.0,1185.0,244.0,598.0,162.0,0.4797570850202429,0.0987854251012145,0.2421052631578947,0.0655870445344129,0.5202429149797572,116779.0,973000.0,1295.0,293.0,1002.0,0.2262548262548262,2.1151344240666643,1167.7744789624544,378276250.21,153148.279,Census Tract 4220; Alameda County; California,282,796,541,851,Census Tract 4220; Alameda County; California,130,107,437,1413
13,967,6001423200,1,Census Tract 4232,80106.0,26348.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4232; Alameda County; California,2024.0,3049.0,783.0,500.0,226.0,1400.0,0.2568055100032798,0.1639881928501148,0.0741226631682518,0.4591669399803214,0.7431944899967202,60563.0,1221700.0,1179.0,339.0,840.0,0.2875318066157761,0.1763281169008219,17291.626846528114,196608769.62,64483.034,Census Tract 4232; Alameda County; California,494,951,711,893,Census Tract 4232; Alameda County; California,385,356,270,1037
14,470,6001423100,1,Census Tract 4231,61161.0,28594.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4231; Alameda County; California,2024.0,4286.0,1741.0,885.0,747.0,393.0,0.4062062529164722,0.2064862342510499,0.174288380774615,0.091693887074195,0.5937937470835277,54787.0,1159900.0,2066.0,824.0,1242.0,0.398838334946757,0.289002174502568,14830.338240108696,301628869.62,70375.378,Census Tract 4231; Alameda County; California,667,907,824,1888,Census Tract 4231; Alameda County; California,192,738,434,1807
15,56,6001420402,1,Census Tract 4204.02,58835.0,15983.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4204.02; Alameda County; California,2024.0,1596.0,518.0,31.0,671.0,305.0,0.3245614035087719,0.0194235588972431,0.4204260651629072,0.1911027568922305,0.6754385964912281,98059.0,,563.0,0.0,563.0,0.0,0.440105628552733,3626.4021554288506,167894008.86,105196.747,Census Tract 4204.02; Alameda County; California,124,1329,93,50,Census Tract 4204.02; Alameda County; California,0,23,88,852
16,1226,6001425102,1,Census Tract 4251.02,124375.0,18417.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4251.02; Alameda County; California,2024.0,4057.0,900.0,527.0,1935.0,391.0,0.2218387971407444,0.1298989401035247,0.4769534138526004,0.0963766329800345,0.7781612028592556,134044.0,642100.0,2371.0,466.0,1905.0,0.1965415436524673,0.2815325690241538,14410.410895131405,129016056.54,31800.852,Census Tract 4251.02; Alameda County; California,213,2543,915,386,Census Tract 4251.02; Alameda County; California,79,339,384,2571
17,1227,6001425103,1,Census Tract 4251.03,119301.0,22442.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4251.03; Alameda County; California,2024.0,2999.0,959.0,808.0,891.0,208.0,0.3197732577525842,0.2694231410470156,0.2970990330110036,0.0693564521507169,0.6802267422474157,126111.0,775700.0,1742.0,415.0,1327.0,0.2382319173363949,0.3404273079276027,8809.516540423323,183420456.54,61160.539,Census Tract 4251.03; Alameda County; California,327,881,1223,568,Census Tract 4251.03; Alameda County; California,39,130,500,1844
18,1240,6001422100,1,Census Tract 4221,124583.0,37438.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4221; Alameda County; California,2024.0,3027.0,1517.0,340.0,376.0,556.0,0.5011562603237529,0.1123224314502808,0.1242153947803105,0.1836802114304592,0.498843739676247,139250.0,1022500.0,1370.0,770.0,600.0,0.5620437956204379,0.2132221245075572,14196.462993654835,337158050.21,111383.565,Census Tract 4221; Alameda County; California,525,552,735,1215,Census Tract 4221; Alameda County; California,153,254,377,1583
19,1241,6001422200,1,Census Tract 4222,105750.0,29978.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4222; Alameda County; California,2024.0,3313.0,1982.0,92.0,458.0,336.0,0.5982493208572291,0.0277693932991246,0.1382432840325988,0.1014186537881074,0.4017506791427708,99379.0,1235200.0,1512.0,684.0,828.0,0.4523809523809524,0.2602393072269871,12730.59029899092,361520569.62,109121.814,Census Tract 4222; Alameda County; California,710,685,909,1009,Census Tract 4222; Alameda County; California,174,127,367,1767
20,348,6001421900,1,Census Tract 4219,160063.0,36887.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4219; Alameda County; California,2024.0,4110.0,2494.0,313.0,670.0,235.0,0.6068126520681265,0.0761557177615571,0.1630170316301703,0.0571776155717761,0.3931873479318735,154219.0,1338300.0,1667.0,1093.0,574.0,0.6556688662267547,0.3307138110835752,12427.663624127736,431342808.86,104949.589,Census Tract 4219; Alameda County; California,992,652,1046,1420,Census Tract 4219; Alameda County; California,16,159,347,2448
