fid,GEOID,COUNTYFP,NAMELSAD,median_hh_,median_h_1,CDTFA_COPR,CDTFA_CITY,CDTFA_COUN,CENSUS_PLA,CENSUS_GEO,CENSUS_P_1,GNIS_PLACE,GNIS_ID,acs_2024_tracts_berkeley_oakland_sf_density_city,acs_2024_tracts_berkeley_oakland_sf_density_NAME,acs_2024_tracts_berkeley_oakland_sf_density_year,acs_2024_tracts_berkeley_oakland_sf_density_total_pop,acs_2024_tracts_berkeley_oakland_sf_density_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_poc,acs_2024_tracts_berkeley_oakland_sf_density_median_income,acs_2024_tracts_berkeley_oakland_sf_density_median_home_value,acs_2024_tracts_berkeley_oakland_sf_density_housing_units_total,acs_2024_tracts_berkeley_oakland_sf_density_owner_occupied,acs_2024_tracts_berkeley_oakland_sf_density_renter_occupied,acs_2024_tracts_berkeley_oakland_sf_density_homeownership_rate,acs_2024_tracts_berkeley_oakland_sf_density_area_sq_miles,acs_2024_tracts_berkeley_oakland_sf_density_pop_density,weight_supply_sum,Accessibility_Index
46,"06001403402","001",Census Tract 4034.02,89021.000000000000000,15101.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4034.02; Alameda County; California","2024","998","339","291","76","238","0.3396793587174349","0.29158316633266534","0.07615230460921844","0.23847695390781562","0.6603206412825651","103362",NA,"760","0","760","0","0.03831662255672875","26046.136987215803",211807200.000000,212231.663
901,"06001403000","001",Census Tract 4030,32077.000000000000000,14958.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4030; Alameda County; California","2024","3387","433","320","2178","145","0.12784174785946265","0.094478889873044","0.6430469441984057","0.04281074697372306","0.8721582521405373","58794","573000","2034","353","1681","0.1735496558505408","0.1362820156848716","24852.87572963293",269841900.000000,79669.885
903,"06001403100","001",Census Tract 4031,136071.000000000000000,12013.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4031; Alameda County; California","2024","2251","680","514","733","283","0.3020879609062639","0.22834295868502888","0.3256330519768992","0.1257219013771657","0.6979120390937361","139375","666700","1224","390","834","0.31862745098039214","0.13300156088712334","16924.61340292385",266100300.000000,118214.260
926,"06001400600","001",Census Tract 4006,155893.000000000000000,33824.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4006; Alameda County; California","2024","2052","969","443","138","211","0.4722222222222222","0.2158869395711501","0.06725146198830409","0.10282651072124756","0.5277777777777778","139238","1189600","835","357","478","0.4275449101796407","0.1146898074216105","17891.738125051124",357752300.000000,174343.226
950,"06001400900","001",Census Tract 4009,114583.000000000000000,31849.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4009; Alameda County; California","2024","2855","962","863","303","420","0.3369527145359019","0.302276707530648","0.10612959719789843","0.14711033274956217","0.6630472854640981","115673","1129200","1167","527","640","0.45158526135389887","0.1629443065368387","17521.324068813276",214646556.540000,75182.682
996,"06001401000","001",Census Tract 4010,153654.000000000000000,31601.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4010; Alameda County; California","2024","6361","1692","2462","377","853","0.2659959125923597","0.38704606193994656","0.05926741078446785","0.13409841219933974","0.7340040874076403","136728","927800","2461","893","1568","0.36286062576188544","0.4431407635611191","14354.355372054764",410294456.540000,64501.565
1002,"06001401400","001",Census Tract 4014,95011.000000000000000,13183.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4014; Alameda County; California","2024","4214","1178","1310","486","1027","0.27954437588989084","0.31086853345989557","0.11532985287138112","0.24371143806359752","0.7204556241101092","70208","889700","1739","427","1312","0.24554341575618172","0.2899186180311194","14535.113434997389",391488156.540000,92901.793
1014,"06001401100","001",Census Tract 4011,93121.000000000000000,8351.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4011; Alameda County; California","2024","5722","2053","1515","793","740","0.358790632645928","0.264767563788885","0.1385879063264593","0.129325410695561","0.641209367354072","96599","1157100","2885","463","2422","0.16048526863084922","0.3360129896737261","17029.10356399064",461337628.270000,80625.241
1018,"06001401300","001",Census Tract 4013,104226.000000000000000,12036.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4013; Alameda County; California","2024","4778","1494","1362","915","654","0.312683131017162","0.2850565089995814","0.19150272080368355","0.13687735454164923","0.687316868982838","106938","639100","2644","229","2415","0.08661119515885023","0.3342541265322852","14294.513128586608",514016828.270000,107579.914
1022,"06001402900","001",Census Tract 4029,37973.000000000000000,26861.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4029; Alameda County; California","2024","2431","629","603","692","224","0.25874125874125875","0.24804607157548333","0.2846565199506376","0.09214315096668038","0.7412587412587412","66050",NA,"1715","12","1703","0.006997084548104956","0.1608196116173489","15116.31557589055",302305800.000000,124354.504
1210,"06001983200","001",Census Tract 9832,176103.000000000000000,11908.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 9832; Alameda County; California","2024","1220","410","339","231","90","0.3360655737704918","0.2778688524590164","0.18934426229508197","0.07377049180327869","0.6639344262295082","196688","898900","668","352","316","0.5269461077844312","0.25207266564213715","4839.874235836468",284210700.000000,232959.590
75,"06001982000","001",Census Tract 9820,129167.000000000000000,64258.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 9820; Alameda County; California","2024","54","27","0","27","0","0.5","0","0.5","0","0.5","137750","1056300","37","31","6","0.8378378378378378","0.6728384280804207","80.25700932995116",207395700.000000,3840661.111
896,"06001402200","001",Census Tract 4022,96200.000000000000000,30965.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4022; Alameda County; California","2024","2775","632","1269","169","588","0.22774774774774775","0.4572972972972973","0.0609009009009009","0.2118918918918919","0.7722522522522522","125351","676400","1050","344","706","0.32761904761904764","0.27111255966440045","10235.60104863848",179613928.270000,64725.740
992,"06001401800","001",Census Tract 4018,72401.000000000000000,16109.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4018; Alameda County; California","2024","1792","448","533","78","609","0.25","0.2974330357142857","0.04352678571428571","0.33984375","0.75","68299","1008700","737","214","523","0.2903663500678426","0.11561294283833873","15499.99468922566",111638600.000000,62298.326
1184,"06001401700","001",Census Tract 4017,145833.000000000000000,23719.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4017; Alameda County; California","2024","3626","1366","596","566","727","0.37672366243794814","0.1643684500827358","0.15609487038058467","0.20049641478212907","0.6232763375620518","148387","757500","1574","713","861","0.45298602287166456","2.397820282461379","1512.206743150027",284368356.540000,78424.809
1214,"06001410500","001",Census Tract 4105,46031.000000000000000,11540.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4105; Alameda County; California","2024","2750","362","1680","251","120","0.13163636363636363","0.610909090909091","0.09127272727272727","0.04363636363636364","0.8683636363636363","58991","1482100","1077","77","1000","0.07149489322191271","0.27656195736055456","9943.522334906018",198825128.270000,72300.047
1222,"06001981900","001",Census Tract 9819,,,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 9819; Alameda County; California","2024","33","5","24","0","0","0.15151515151515152","0.7272727272727273","0","0","0.8484848484848485",NA,NA,"29","0","29","0","1.82173801330563","18.114569580792757",144605600.000000,4381987.879
67,"06001432400","001",Census Tract 4324,82424.000000000000000,27334.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4324; Alameda County; California","2024","5818","950","235","1514","2879","0.16328635269852182","0.04039188724647645","0.26022688209006534","0.49484358886215196","0.8367136473014782","100000","698800","1746","836","910","0.47880870561282934","2.7616692448135574","2106.696886647908",58048800.000000,9977.449
456,"06001430400","001",Census Tract 4304,206750.000000000000000,34262.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4304; Alameda County; California","2024","2160","761","64","986","220","0.3523148148148148","0.02962962962962963","0.4564814814814815","0.10185185185185185","0.6476851851851853","193958","1165100","707","646","61","0.9137199434229137","1.1215069615150006","1925.9800198494881",,
310,"06001409200","001",Census Tract 4092,73621.000000000000000,9788.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4092; Alameda County; California","2024","3785","100","999","150","2340","0.026420079260237782","0.2639365918097754","0.03963011889035667","0.618229854689564","0.9735799207397622","85769","607100","1046","600","446","0.5736137667304015","0.2750166313373732","13762.804022411281",70921300.000000,18737.464
309,"06001409100","001",Census Tract 4091,72204.000000000000000,13022.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4091; Alameda County; California","2024","2455","211","441","129","1632","0.0859470468431772","0.17963340122199592","0.05254582484725051","0.664765784114053","0.9140529531568228","85707","567500","683","433","250","0.6339677891654466","0.18626666698537866","13180.028610232821",65382300.000000,26632.301
619,"06001432502","001",Census Tract 4325.02,97412.000000000000000,19363.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4325.02; Alameda County; California","2024","5104","456","619","2314","1599","0.08934169278996865","0.12127742946708464","0.4533699059561129","0.3132836990595611","0.9106583072100314","104089","767600","1416","594","822","0.4194915254237288","0.3184174245588032","16029.27354579312",54506400.000000,10679.154
877,"06001432800","001",Census Tract 4328,135313.000000000000000,27831.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4328; Alameda County; California","2024","3930","1317","352","1222","629","0.3351145038167939","0.08956743002544529","0.310941475826972","0.16005089058524172","0.664885496183206","134211","1118400","1474","1222","252","0.8290366350067843","1.488062301371277","2641.018454925195",49416000.000000,12574.046
45,"06001403401","001",Census Tract 4034.01,69984.000000000000000,15753.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4034.01; Alameda County; California","2024","2724","1188","443","611","208","0.43612334801762115","0.16262848751835535","0.22430249632892804","0.0763582966226138","0.5638766519823788","70472","949000","1969","360","1609","0.1828339258506856","0.4409519069066329","6177.544438143862",369241800.000000,135551.322
1017,"06001401200","001",Census Tract 4012,115045.000000000000000,41439.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4012; Alameda County; California","2024","3073","1814","136","476","366","0.5903026358607224","0.044256426944354055","0.1548974943052392","0.11910185486495281","0.4096973641392776","123750","1301600","1578","649","929","0.4112801013941698","0.2566051378766553","11975.598093741703",438572200.000000,142717.930
162,"06001403502","001",Census Tract 4035.02,108478.000000000000000,38557.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4035.02; Alameda County; California","2024","2052","922","406","215","298","0.449317738791423","0.19785575048732942","0.10477582846003898","0.145224171539961","0.550682261208577","115000","769000","1180","119","1061","0.10084745762711865","0.06574530413075166","31211.354592246822",344694400.000000,167979.727
654,"06001405302","001",Census Tract 4053.02,63709.000000000000000,10356.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4053.02; Alameda County; California","2024","2501","812","428","729","286","0.3246701319472211","0.17113154738104758","0.29148340663734507","0.11435425829668133","0.6753298680527788","61806","739600","1558","62","1496","0.03979460847240052","0.07859450788164303","31821.561931099608",177196700.000000,70850.340
920,"06001403600","001",Census Tract 4036,99925.000000000000000,11672.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4036; Alameda County; California","2024","4839","1762","992","480","853","0.364124819177516","0.20500103327133706","0.09919404835709858","0.17627609010126058","0.6358751808224841","103459","896400","2842","440","2402","0.15482054890921887","0.15328623787805395","31568.391702910998",333286600.000000,68875.098
910,"06001404000","001",Census Tract 4040,98214.000000000000000,30785.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4040; Alameda County; California","2024","2847","1433","545","254","421","0.5033368458025992","0.19142957499121882","0.08921671935370566","0.14787495609413417","0.4966631541974008","92500","866700","1734","471","1263","0.27162629757785467","0.14557297601478614","19557.20132911774",361293600.000000,126903.267
168,"06001403702","001",Census Tract 4037.02,115156.000000000000000,24746.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4037.02; Alameda County; California","2024","2198","1189","243","219","309","0.5409463148316651","0.1105550500454959","0.09963603275705187","0.14058234758871702","0.4590536851683349","117470","897100","1259","230","1029","0.18268467037331215","0.0780184470001004","28172.82430650243",316544200.000000,144014.650
653,"06001404101","001",Census Tract 4041.01,128711.000000000000000,23998.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4041.01; Alameda County; California","2024","3267","2180","238","269","305","0.667278849097031","0.07284970921334558","0.08233853688399143","0.0933578206305479","0.33272115090296905","125729","1158400","1768","667","1101","0.377262443438914","0.22480521730270298","14532.580868000694",304424900.000000,93181.788
74,"06001405301","001",Census Tract 4053.01,112656.000000000000000,34438.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4053.01; Alameda County; California","2024","2979","1215","796","363","278","0.4078549848942598","0.26720375965088955","0.12185297079556898","0.09331990600872776","0.5921450151057401","110913","815800","1542","104","1438","0.06744487678339818","0.08985222112572316","33154.43917442752",163997400.000000,55051.158
669,"06001405401","001",Census Tract 4054.01,70231.000000000000000,13508.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4054.01; Alameda County; California","2024","3796","626","545","1315","920","0.16491043203371972","0.14357218124341412","0.3464172813487882","0.24236037934668073","0.8350895679662803","76071","665200","1598","171","1427","0.10700876095118898","0.12272906986269812","30929.917453515583",168602500.000000,44415.832
909,"06001403900","001",Census Tract 4039,126075.000000000000000,35815.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4039; Alameda County; California","2024","3767","2351","272","459","523","0.6241040615874701","0.07220599946907354","0.1218476241040616","0.13883727103796123","0.3758959384125299","107219","573300","2259","756","1503","0.3346613545816733","0.1907802883307748","19745.2264747015",352457000.000000,93564.375
1224,"06001403701","001",Census Tract 4037.01,84063.000000000000000,16264.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4037.01; Alameda County; California","2024","2602","1183","451","518","235","0.4546502690238278","0.1733282090699462","0.19907763259031513","0.090315142198309","0.5453497309761721","94366","686000","1636","234","1402","0.1430317848410758","0.06540672538884588","39781.84176827374",250078100.000000,96109.954
1225,"06001404102","001",Census Tract 4041.02,98472.000000000000000,20083.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4041.02; Alameda County; California","2024","2546","1437","107","291","427","0.5644147682639434","0.0420267085624509","0.11429693637077769","0.16771406127258445","0.43558523173605657","110920","644100","1567","336","1231","0.21442246330567966","0.08355433575242059","30471.189520841133",262734200.000000,103194.894
976,"06001404200","001",Census Tract 4042,247619.000000000000000,38018.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4042; Alameda County; California","2024","3661","2456","191","314","303","0.670854957661841","0.05217153783119366","0.08576891559683146","0.08276427205681508","0.329145042338159","250001","1761900","1448","1240","208","0.856353591160221","1.0442593884498974","3505.8339340711145",343523900.000000,93833.352
663,"06001405200","001",Census Tract 4052,105222.000000000000000,17818.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4052; Alameda County; California","2024","5254","1549","593","1738","664","0.2948229920060906","0.11286638751427484","0.3307955843167111","0.12637990102778834","0.7051770079939095","131563","1106400","2367","568","1799","0.23996620194338825","0.32907832113264174","15965.804073378227",305298900.000000,58107.899
476,"06001426200","001",Census Tract 4262,250001.000000000000000,,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4262; Alameda County; California","2024","4843","3121","54","922","264","0.644435267396242","0.011150113565971505","0.1903778649597357","0.05451166632252736","0.355564732603758","250001","2000001","1692","1418","274","0.8380614657210402","0.5260267588877612","9206.75596473478",270120100.000000,55775.367
664,"06001405500","001",Census Tract 4055,82222.000000000000000,20399.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4055; Alameda County; California","2024","3674","818","848","1246","561","0.22264561785519868","0.23081110506260208","0.3391399020141535","0.15269461077844312","0.7773543821448013","92837","869700","1657","538","1119","0.3246831623415812","0.1574941343118264","23327.852913720326",205852600.000000,56029.559
908,"06001403800","001",Census Tract 4038,154524.000000000000000,14436.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4038; Alameda County; California","2024","4056","2475","353","490","360","0.610207100591716","0.08703155818540434","0.1208086785009862","0.08875739644970414","0.389792899408284","159917","1515600","1941","759","1182","0.3910355486862442","0.24728456901798967","16402.155686895814",326647600.000000,80534.418
949,"06001405000","001",Census Tract 4050,152857.000000000000000,46578.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4050; Alameda County; California","2024","3566","1970","313","436","462","0.5524397083567022","0.08777341559169938","0.12226584408300617","0.12955692652832304","0.4475602916432978","136406","1404000","1581","1047","534","0.6622390891840607","0.3108658745714607","11471.18513704939",300833400.000000,84361.582
667,"06001405100","001",Census Tract 4051,250001.000000000000000,,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4051; Alameda County; California","2024","4476","2966","181","551","311","0.662645218945487","0.040437890974084005","0.12310098302055407","0.0694816800714924","0.337354781054513","250001","1900100","1708","1597","111","0.9350117096018735","0.4864791676020199","9200.805087016053",288877800.000000,64539.276
655,"06001405600","001",Census Tract 4056,80669.000000000000000,18556.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4056; Alameda County; California","2024","3277","864","358","1086","767","0.26365578272810497","0.10924626182483979","0.3314006713457431","0.23405553860238024","0.736344217271895","95455","890900","1504","471","1033","0.31316489361702127","0.1659465578861851","19747.32131682743",226832500.000000,69219.561
658,"06001405800","001",Census Tract 4058,67222.000000000000000,10099.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4058; Alameda County; California","2024","4590","479","820","2250","829","0.10435729847494553","0.1786492374727669","0.49019607843137253","0.18061002178649238","0.8956427015250544","68378","790500","1378","603","775","0.4375907111756168","0.20073287017747085","22866.210182427592",188208800.000000,41004.096
928,"06001426100","001",Census Tract 4261,250001.000000000000000,,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4261; Alameda County; California","2024","6102","4225","31","1269","151","0.6923959357587676","0.0050803015404785315","0.2079646017699115","0.024745984922976073","0.30760406424123243","250001","2000001","2172","2094","78","0.9640883977900553","1.1823133265741559","5161.06844340579",218579200.000000,35820.911
657,"06001405700","001",Census Tract 4057,74547.000000000000000,16003.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4057; Alameda County; California","2024","3927","487","846","885","1472","0.12401324166030048","0.21543162719633308","0.22536287242169595","0.37484084542908075","0.8759867583396995","89500","845300","1472","479","993","0.32540760869565216","0.21217306321433685","18508.47577212453",237040500.000000,60361.727
1008,"06001404400","001",Census Tract 4044,184737.000000000000000,48773.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4044; Alameda County; California","2024","5567","2958","74","1294","167","0.53134542841746","0.013292617208550387","0.23244117118735405","0.029998203700377223","0.46865457158254","231597","1412800","2407","2146","261","0.891566265060241","1.6143318826511976","3448.485444552692",248791200.000000,44690.354
668,"06001404900","001",Census Tract 4049,151860.000000000000000,35377.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4049; Alameda County; California","2024","4929","2384","188","823","768","0.48366808683302903","0.03814161087441672","0.16697098803002638","0.15581253804017042","0.516331913166971","132849","1219900","2113","1271","842","0.6015144344533838","0.3927331613277191","12550.506260628597",285404200.000000,57903.064
682,"06001406300","001",Census Tract 4063,62837.000000000000000,24190.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4063; Alameda County; California","2024","4378","411","638","1024","1715","0.0938784833257195","0.1457286432160804","0.23389675650982183","0.39173138419369574","0.9061215166742805","68399","747300","1441","603","838","0.41845940319222763","0.18791484452446053","23297.78688362283",212862200.000000,48620.877
656,"06001406400","001",Census Tract 4064,72955.000000000000000,34494.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4064; Alameda County; California","2024","2370","743","308","409","746","0.3135021097046414","0.12995780590717299","0.17257383966244727","0.31476793248945145","0.6864978902953587","80104","810900","772","394","378","0.5103626943005182","0.21847426868473507","10847.959415394502",275398900.000000,116202.068
907,"06001404501","001",Census Tract 4045.01,232112.000000000000000,54641.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4045.01; Alameda County; California","2024","1794","1098","67","213","158","0.6120401337792643","0.037346711259754736","0.11872909698996656","0.08807134894091416","0.38795986622073575","250001","2000001","702","585","117","0.8333333333333334","0.42632518264408653","4208.055430536703",300904100.000000,167728.038
676,"06001406602","001",Census Tract 4066.02,58869.000000000000000,21718.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4066.02; Alameda County; California","2024","2837","413","563","474","1066","0.1455763130066972","0.19844906591469863","0.16707789918928445","0.3757490306661967","0.8544236869933028","74551","877700","980","280","700","0.2857142857142857","0.16138846239468738","17578.70394143732",248383500.000000,87551.463
662,"06001404800","001",Census Tract 4048,114083.000000000000000,51184.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4048; Alameda County; California","2024","2755","1512","245","384","323","0.5488203266787659","0.08892921960072596","0.13938294010889293","0.11724137931034483","0.4511796733212341","101607","1218800","1184","731","453","0.6173986486486487","0.23799008142409495","11576.11268299299",244827800.000000,88866.715
936,"06001404502","001",Census Tract 4045.02,227361.000000000000000,30663.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4045.02; Alameda County; California","2024","6286","3830","326","1213","335","0.6092904867960547","0.05186127903277124","0.1929685014317531","0.05329303213490296","0.3907095132039453","250001","1420300","2590","2487","103","0.9602316602316602","1.1973172763772286","5250.07040658413",273877300.000000,43569.408
661,"06001404700","001",Census Tract 4047,250001.000000000000000,,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4047; Alameda County; California","2024","2211","1414","70","300","225","0.6395296246042514","0.031659882406151064","0.13568521031207598","0.10176390773405698","0.36047037539574855","250001","1571600","857","808","49","0.9428238039673279","0.46107316147809324","4795.334417019739",233401100.000000,105563.591
1010,"06001406700","001",Census Tract 4067,143887.000000000000000,21641.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4067; Alameda County; California","2024","5778","2537","540","1044","1126","0.43907926618206994","0.09345794392523364","0.1806853582554517","0.19487712011076497","0.5609207338179301","134087","1175900","2186","1449","737","0.6628545288197621","0.6637536953966978","8705.036280885384",284086700.000000,49166.961
297,"06013353001","013",Census Tract 3530.01,250001.000000000000000,,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,,,,,,,,,,,,,,,,,,,,,,99710200.000000,
354,"06001407000","001",Census Tract 4070,89755.000000000000000,23660.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4070; Alameda County; California","2024","6290","978","819","1632","2538","0.15548489666136725","0.1302066772655008","0.2594594594594595","0.40349761526232114","0.8445151033386328","70956","720900","2195","1165","1030","0.530751708428246","0.3326802939108602","18907.041129659967",238522600.000000,37920.922
1009,"06001404600","001",Census Tract 4046,222617.000000000000000,36712.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4046; Alameda County; California","2024","4697","2699","412","590","224","0.5746220992122631","0.08771556312539919","0.12561209282520758","0.04769001490312966","0.42537790078773685","233194","1315700","1885","1678","207","0.890185676392573","1.89070476416626","2484.2588271951736",243100500.000000,51756.547
938,"06001406800","001",Census Tract 4068,131161.000000000000000,33849.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4068; Alameda County; California","2024","3747","1288","806","536","672","0.3437416599946624","0.2151054176674673","0.1430477715505738","0.17934347477982385","0.6562583400053377","127966","1044000","1439","1024","415","0.7116052814454482","0.34740068288946735","10785.816449279073",287809200.000000,76810.568
65,"06001408000","001",Census Tract 4080,192159.000000000000000,29195.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4080; Alameda County; California","2024","2758","1673","175","551","286","0.6065989847715736","0.06345177664974619","0.1997824510514866","0.10369833212472807","0.3934010152284264","216989","1298200","1005","864","141","0.8597014925373134","0.7493601151589151","3680.4734388820752",216453100.000000,78481.907
870,"06001407900","001",Census Tract 4079,124523.000000000000000,40242.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,Oakland,"Census Tract 4079; Alameda County; California","2024","3047","1191","481","400","510","0.39087627174269773","0.15786019035116508","0.13127666557269446","0.16737774860518542","0.6091237282573023","89987","1108800","1277","935","342","0.7321848081440877","0.41992935442798324","7255.982388157988",274336100.000000,90034.821
327,"06013352202","013",Census Tract 3522.02,169591.000000000000000,22885.000000000000000,"01017",Oakland,Alameda County,Oakland,"0653000",City,City of Oakland,2411292,,,,,,,,,,,,,,,,,,,,,,44310000.000000,
